danrer_gene_id	danrer_transcript_id	number_of_exons	astmex_gene_id	danrer_gene_id	gadmor_gene_id	gasacu_gene_id	orenil_gene_id	orylat_gene_id	poefor_gene_id	takrub_gene_id
ENSDARG00000102506	ENSDART00000159930	9	ENSAMXG00000005931	ENSDARG00000102506	ENSGMOG00000003139	ENSGACG00000005232	ENSONIG00000008807	ENSORLG00000017126	ENSPFOG00000024453	ENSTRUG00000017911	
ENSDARG00000102645	ENSDART00000157399	8	ENSAMXG00000010037	ENSDARG00000102645	ENSGMOG00000002326	ENSGACG00000015728	ENSONIG00000005970	ENSORLG00000007500	ENSPFOG00000012693	ENSTRUG00000017493	
ENSDARG00000102766	ENSDART00000172546	5	ENSAMXG00000002524	ENSDARG00000102766	ENSGMOG00000005133	ENSGACG00000019650	ENSONIG00000013437	ENSORLG00000005090	ENSPFOG00000000092	ENSTRUG00000003230	
ENSDARG00000102787	ENSDART00000166797	6	ENSAMXG00000019508	ENSDARG00000102787	ENSGMOG00000000552	ENSGACG00000016832	ENSONIG00000010208	ENSORLG00000008376	ENSPFOG00000012123	ENSTRUG00000007230	
ENSDARG00000102798	ENSDART00000159629	9	ENSAMXG00000004474	ENSDARG00000102798	ENSGMOG00000011681	ENSGACG00000000027	ENSONIG00000000404	ENSORLG00000003191	ENSPFOG00000011685	ENSTRUG00000007322	
ENSDARG00000102974	ENSDART00000157828	6	ENSAMXG00000001995	ENSDARG00000102974	ENSGMOG00000001100	ENSGACG00000015232	ENSONIG00000017063	ENSORLG00000012214	ENSPFOG00000011764	ENSTRUG00000003058	
ENSDARG00000103125	ENSDART00000158948	7	ENSAMXG00000010507	ENSDARG00000103125	ENSGMOG00000010614	ENSGACG00000018952	ENSONIG00000017699	ENSORLG00000011670	ENSPFOG00000006024	ENSTRUG00000008958	
ENSDARG00000103485	ENSDART00000166018	5	ENSAMXG00000006235	ENSDARG00000103485	ENSGMOG00000019088	ENSGACG00000018220	ENSONIG00000003444	ENSORLG00000001884	ENSPFOG00000016389	ENSTRUG00000003023	
ENSDARG00000103684	ENSDART00000163839	5	ENSAMXG00000016949	ENSDARG00000103684	ENSGMOG00000010180	ENSGACG00000005988	ENSONIG00000008312	ENSORLG00000005570	ENSPFOG00000019632	ENSTRUG00000011199	
ENSDARG00000103699	ENSDART00000158790	14	ENSAMXG00000011424	ENSDARG00000103699	ENSGMOG00000002695	ENSGACG00000016376	ENSONIG00000007651		ENSPFOG00000005502	ENSTRUG00000013202	
ENSDARG00000103725	ENSDART00000162062	6	ENSAMXG00000016921	ENSDARG00000103725	ENSGMOG00000002594	ENSGACG00000004734	ENSONIG00000009210	ENSORLG00000000956	ENSPFOG00000013875	ENSTRUG00000011385	
ENSDARG00000103953	ENSDART00000157741	15	ENSAMXG00000011603	ENSDARG00000103953	ENSGMOG00000002952	ENSGACG00000017493	ENSONIG00000002455		ENSPFOG00000000954	ENSTRUG00000012646	
ENSDARG00000104023	ENSDART00000159791	5	ENSAMXG00000006743	ENSDARG00000104023	ENSGMOG00000017557	ENSGACG00000012432	ENSONIG00000001476	ENSORLG00000015286	ENSPFOG00000003877	ENSTRUG00000009367	
ENSDARG00000104105	ENSDART00000161089	5	ENSAMXG00000016683	ENSDARG00000104105	ENSGMOG00000015604	ENSGACG00000001351	ENSONIG00000015742	ENSORLG00000012855	ENSPFOG00000006601	ENSTRUG00000015592	
ENSDARG00000104276	ENSDART00000162042	7	ENSAMXG00000008532	ENSDARG00000104276	ENSGMOG00000011346	ENSGACG00000006146	ENSONIG00000012130	ENSORLG00000016934	ENSPFOG00000011015	ENSTRUG00000013993	
ENSDARG00000104541	ENSDART00000161959	5	ENSAMXG00000001143	ENSDARG00000104541	ENSGMOG00000015945	ENSGACG00000005392	ENSONIG00000009861	ENSORLG00000011074	ENSPFOG00000015401	ENSTRUG00000013478	
ENSDARG00000104835	ENSDART00000170106	10	ENSAMXG00000018100	ENSDARG00000104835	ENSGMOG00000004476	ENSGACG00000005813	ENSONIG00000009797	ENSORLG00000010603	ENSPFOG00000013390	ENSTRUG00000016338	
ENSDARG00000105035	ENSDART00000168682	6	ENSAMXG00000011846	ENSDARG00000105035	ENSGMOG00000015190	ENSGACG00000014924	ENSONIG00000009445	ENSORLG00000001114	ENSPFOG00000004421	ENSTRUG00000003450	
ENSDARG00000105131	ENSDART00000167896	7	ENSAMXG00000010625	ENSDARG00000105131	ENSGMOG00000003660	ENSGACG00000004489	ENSONIG00000007871	ENSORLG00000017408	ENSPFOG00000014872	ENSTRUG00000011782	
ENSDARG00000105214	ENSDART00000159782	5	ENSAMXG00000011291	ENSDARG00000105214	ENSGMOG00000009325	ENSGACG00000007638	ENSONIG00000014987	ENSORLG00000005317	ENSPFOG00000018733	ENSTRUG00000009063	
